PLAYER_ID,PLAYER_NAME,TEAM,POSITION,ROLE_NAME,MIN,PTS,eFG%,TS%,TOV%,ORB%,FTr,USG%,AST%,STL%,BLK%,2PT%,3PT%,FT%,DRB%,3PAr
1856308,D. Acosta Moliné,FUNDACIÓN CB CANARIAS,C,Traditional Center,25.0,9.0,68.7,64.2,15.7,15.6,25.3,15.2,4.8,0.8,2.2,69.0,33.3,17.4,22.6,8.3
1885980,F. Díaz Herrera,GRAN CANARIA,SG,Lead Guard,18.9,6.1,44.2,47.9,23.8,4.6,60.6,18.8,24.9,4.3,0.3,46.9,26.1,47.5,9.9,26.3
1943849,F. Mauri Guillen,JOVENTUT BADALONA,PG,Offensive Engine,28.9,11.5,33.9,36.9,13.6,4.4,21.9,26.9,27.7,2.2,0.2,35.1,23.3,62.5,9.4,58.8
1959173,M. Rosell Lanza,BAXI MANRESA,SF,3&D Wing,20.8,5.6,34.0,38.4,9.7,5.2,16.8,16.5,5.8,2.4,0.6,42.9,21.5,86.7,11.6,70.3
1975428,C. Alias Bermudez,CASADEMONT ZARAGOZA,SG,Offensive Engine,23.7,6.8,35.6,35.8,14.6,4.7,26.5,18.8,17.9,2.4,0.0,43.8,13.3,37.1,12.1,31.0
2007163,D. Fernandez Trujillo,FUNDACIÓN CB CANARIAS,SG,Offensive Engine,17.4,6.1,46.1,50.1,20.2,3.4,53.0,17.4,14.8,1.5,0.0,44.8,35.6,70.6,9.3,59.7
2008960,A. Moreno Valero,CASADEMONT ZARAGOZA,PG,Offensive Engine,23.3,10.4,44.4,50.6,17.5,2.2,40.9,22.3,27.7,2.5,0.7,46.9,30.6,70.4,8.5,57.5
2016757,P. Campo Teruel,CASADEMONT ZARAGOZA,SF,Rolling Big,7.2,1.0,12.4,18.4,23.1,4.0,49.7,18.3,6.3,1.6,4.0,20.0,0.0,50.0,13.2,12.4
2023675,A. Torres De La Torre,JOVENTUT BADALONA,SF,3&D Wing,31.8,14.1,56.2,56.3,19.3,4.8,27.2,20.8,16.0,2.5,2.1,62.5,36.9,48.6,21.9,53.7
2024613,M. Villalonga Asensio,BAXI MANRESA,SF,Rolling Big,8.1,1.2,28.5,30.5,8.5,5.1,20.4,16.5,18.0,1.2,0.0,14.3,20.0,33.3,21.2,42.8
2029762,D. Krohnert Moto,REAL MADRID,SF,Traditional Center,9.7,2.5,37.2,44.8,18.7,4.8,50.5,14.1,8.4,1.7,6.4,76.9,9.1,60.0,9.4,46.7
2033475,M. Oliver Gracia,GRAN CANARIA,SG,Rolling Big,7.0,1.0,20.2,20.2,6.2,0.0,9.1,12.4,2.3,0.0,0.0,28.6,16.7,0.0,0.0,32.2
2043083,R. Rioja Achiaga,REAL MADRID,C,High Volume Scorer,6.7,2.9,52.0,58.9,10.7,8.6,12.2,18.1,14.9,0.5,0.0,50.0,62.5,66.7,10.2,23.0
2044256,J. Arteaga Giner,GRAN CANARIA,SF,3&D Wing,11.4,3.3,37.4,45.4,13.2,6.5,23.7,13.8,4.1,0.8,0.0,42.9,28.1,100.0,12.4,62.9
2044955,X. Lopez Rodriguez,FUNDACIÓN CB CANARIAS,SF,Stretch Big,30.1,17.5,54.3,54.0,12.8,9.4,42.7,26.8,13.7,2.6,1.4,54.8,34.6,50.0,21.8,23.8
2045029,D. Rodriguez Ramos,BURGOS GRUPO DE SANTIAGO,PF,3&D Wing,22.4,8.0,52.5,52.3,7.0,7.8,40.1,15.5,4.1,1.5,1.3,56.2,34.4,41.0,11.0,55.7
2073295,R. Valero Lopez,CASADEMONT ZARAGOZA,SF,3&D Wing,13.2,3.9,38.6,39.7,10.6,3.7,11.9,16.9,12.3,2.2,0.5,50.0,11.5,54.5,6.9,37.2
2077155,M. Gaspa Ibañez,BAXI MANRESA,SG,Lead Guard,24.3,13.7,56.9,60.1,17.2,4.7,38.1,23.6,27.1,3.5,0.0,58.5,31.6,80.0,12.6,31.3
2080004,G. Fernandez Gimenez,BAXI MANRESA,PG,High Volume Scorer,16.2,9.3,46.7,50.2,18.6,8.6,16.8,30.7,11.8,2.0,0.0,61.5,20.0,75.0,6.2,52.9
2080257,M. Olvera Gimenez,BAXI MANRESA,C,Rolling Big,3.5,1.0,20.9,20.9,15.7,14.0,0.0,24.8,0.0,0.0,0.0,50.0,0.0,0.0,33.6,20.9
2081017,M. Julia Del Pozo,JOVENTUT BADALONA,PG,Stretch Big,14.1,3.4,52.4,50.9,31.2,2.4,91.9,15.6,8.2,2.8,0.6,38.1,100.0,54.5,8.5,12.0
2081670,G. Naspler Perez,BAXI MANRESA,SF,Lead Guard,22.8,10.2,43.3,52.3,16.9,5.0,66.7,22.5,12.6,3.4,0.3,54.4,16.2,71.8,14.5,34.6
2081709,E. Del Castillo Lindo,JOVENTUT BADALONA,SG,3&D Wing,24.3,6.5,54.8,56.6,22.5,5.7,19.5,15.6,14.0,1.9,1.8,50.0,30.0,58.8,13.4,36.7
2081822,A. Muncunill Ferrer,BAXI MANRESA,SG,3&D Wing,16.4,3.8,34.0,35.2,12.4,11.0,9.1,15.4,13.7,1.7,0.0,36.8,24.0,33.3,13.2,59.8
2082056,N. Poza Cervantes,BARÇA ATLÈTIC,PG,Offensive Engine,25.3,8.4,46.9,52.6,20.7,2.3,35.1,16.4,24.4,2.9,0.0,59.3,29.2,84.6,7.0,73.0
2082268,S. Merebashvili Khutashvili,JOVENTUT BADALONA,SF,Rolling Big,14.8,1.2,3.9,11.5,13.3,0.0,40.2,18.8,8.8,2.4,1.6,12.5,0.0,75.0,14.0,54.9
2082385,H. Tamayo Mengual,JOVENTUT BADALONA,SF,3&D Wing,12.2,3.0,32.6,35.9,13.2,0.0,27.9,16.7,12.2,0.0,2.7,28.6,50.0,66.7,10.2,33.0
2084765,C. Iglesias Gracia,CASADEMONT ZARAGOZA,SF,Rolling Big,6.6,3.0,43.9,43.9,14.6,9.0,19.5,26.5,0.0,0.0,0.0,0.0,60.0,0.0,9.3,48.8
2087418,G. Baez Pierson,GRAN CANARIA,SF,3&D Wing,18.9,4.9,36.1,40.3,15.9,4.6,32.1,15.1,10.5,4.1,1.0,45.9,21.7,68.2,10.4,54.9
2094410,H. Alonso Martinez,REAL MADRID,PG,Offensive Engine,24.1,7.6,35.6,46.8,21.5,2.8,77.6,18.7,21.4,3.2,0.0,45.5,16.7,72.0,11.5,44.5
2103560,A. Reyes Abad,BURGOS GRUPO DE SANTIAGO,SG,Stretch Big,18.8,8.0,43.4,50.2,15.1,4.8,50.7,19.5,4.5,2.3,2.3,53.3,22.9,76.2,19.2,41.2
2122875,I. Almansa Perez,REAL MADRID,PF,Stretch Big,25.6,12.9,49.8,54.2,8.3,8.1,44.4,22.8,17.7,1.2,0.6,50.9,31.2,70.0,21.3,24.1
2125634,J. Garcia Sanchez,CASADEMONT ZARAGOZA,PF,Offensive Engine,23.6,4.4,35.4,39.7,28.9,3.7,21.0,15.7,21.1,3.4,0.0,34.8,16.7,84.2,12.0,56.1
2129281,G. Hernández Expósito,FUNDACIÓN CB CANARIAS,C,Rolling Big,2.3,0.0,0.0,0.0,15.1,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3
2129323,J. Yánez García,GRAN CANARIA,SF,Rolling Big,4.1,1.2,27.5,27.5,11.9,0.0,0.0,14.4,0.0,2.5,0.0,0.0,50.0,0.0,5.1,54.3
2137337,A. Perez Lopez,FUNDACIÓN CB CANARIAS,SG,Offensive Engine,8.3,1.0,19.1,26.7,17.8,2.5,43.2,11.4,10.8,1.5,0.9,25.0,15.4,66.7,8.0,67.6
2145902,F. Torreblanca Catalan,BAXI MANRESA,SG,Offensive Engine,23.1,11.4,44.3,50.8,18.8,6.4,36.5,25.7,15.8,3.0,0.0,41.0,30.7,81.4,16.5,69.8
2150510,J. Pumarola Aguilar,BAXI MANRESA,C,3&D Wing,22.6,8.2,43.6,47.1,16.5,7.4,14.8,19.7,12.4,1.2,3.8,54.8,21.4,90.0,7.0,49.9
2153495,J. Salo Blaya,BAXI MANRESA,C,3&D Wing,16.5,2.8,52.7,51.1,18.7,9.1,46.3,9.7,10.4,2.2,0.0,51.6,0.0,30.8,7.6,6.4
2156562,R. Torras Ferrer,JOVENTUT BADALONA,SF,Stretch Big,9.4,4.3,56.9,57.3,22.6,8.4,65.1,23.3,6.3,2.2,0.0,59.1,36.4,70.0,11.3,34.9
2162563,A. Laso Careaga,BURGOS GRUPO DE SANTIAGO,PG,Offensive Engine,17.9,2.9,30.7,31.9,29.7,2.2,16.0,14.3,24.2,2.7,0.3,38.1,19.6,58.3,10.8,68.0
2166517,D. Gonzalez Castro,BARÇA ATLÈTIC,PG,Offensive Engine,22.3,4.9,45.4,53.2,28.2,4.7,57.7,11.5,22.3,3.2,0.0,58.6,25.0,78.9,8.4,40.4
2173751,J. Castro Estévez,GRAN CANARIA,PG,Lead Guard,7.0,1.0,27.6,27.6,37.8,5.8,0.0,16.6,14.2,6.7,0.0,50.0,0.0,0.0,7.9,27.6
2177916,P. Pasqua Amat,GRAN CANARIA,SF,Rolling Big,9.4,1.9,32.9,31.5,13.4,4.8,12.9,14.8,8.5,2.7,0.0,30.0,27.3,0.0,8.2,48.2
2181003,R. Rodriguez Galvan,FUNDACIÓN CB CANARIAS,PG,Offensive Engine,28.8,7.8,37.1,40.5,15.3,1.4,19.4,17.6,16.7,1.1,0.3,26.2,29.1,66.7,6.7,69.6
2199699,H. Valle Paramio,CASADEMONT ZARAGOZA,SF,Rolling Big,3.1,0.6,36.3,36.3,0.0,0.0,0.0,10.2,0.0,3.0,0.0,0.0,33.3,0.0,6.1,77.1
2207996,M. Auciello Cubells,CASADEMONT ZARAGOZA,C,Rolling Big,4.2,0.0,0.0,0.0,56.0,0.0,0.0,5.1,0.0,2.8,0.0,0.0,0.0,0.0,5.3,16.7
2210291,E. Franco Sanz,BURGOS GRUPO DE SANTIAGO,C,Traditional Center,8.4,3.6,57.8,61.5,16.2,7.7,50.9,17.7,2.8,1.0,0.6,60.5,0.0,68.2,12.0,0.0
2218824,O. Filba Gonzalez,BARÇA ATLÈTIC,PG,Offensive Engine,14.0,2.3,37.7,43.3,28.6,0.5,47.7,10.2,11.6,2.0,0.0,35.0,40.0,64.3,6.6,23.6
2220551,M. Garcia Varona,BURGOS GRUPO DE SANTIAGO,SG,3&D Wing,3.5,1.1,63.0,63.0,0.0,13.2,0.0,10.0,11.9,2.3,0.0,66.7,42.9,0.0,8.3,45.8
2227587,G. Tavier Montoya,REAL MADRID,SF,Rolling Big,8.7,1.2,50.9,50.9,4.2,6.8,0.0,7.7,9.0,2.3,0.0,50.0,0.0,0.0,10.9,8.8
2228400,M. Perez Gundin,BURGOS GRUPO DE SANTIAGO,SF,Rolling Big,2.4,0.4,9.1,9.1,0.0,19.1,0.0,3.6,10.2,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2229563,H. Dorta Perez,FUNDACIÓN CB CANARIAS,C,Rolling Big,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2241509,H. Ruiz Zamorano,JOVENTUT BADALONA,SG,Lead Guard,20.8,10.3,54.2,57.2,19.2,1.6,45.0,24.4,14.9,4.3,1.8,50.0,35.3,61.5,8.6,56.6
2243143,T. Thomas I García,JOVENTUT BADALONA,PF,Rolling Big,11.6,1.0,7.9,17.2,37.9,10.8,64.5,16.8,5.8,3.0,0.0,14.3,0.0,66.7,12.2,17.8
2256034,J. Cerdan Palacios,BARÇA ATLÈTIC,SG,Offensive Engine,15.0,6.5,45.5,46.6,17.0,10.2,11.7,22.6,12.9,2.7,0.9,46.4,29.7,60.0,5.4,41.8
2279529,H. Díaz Guillén,GRAN CANARIA,SF,Shooter Specialist,8.8,1.9,64.0,55.8,25.4,5.7,28.3,11.7,4.8,3.7,0.0,100.0,33.3,0.0,3.2,85.0
2286044,I. Ruperez Nuñez-Morgades,REAL MADRID,C,3&D Wing,9.5,2.7,44.3,49.4,14.6,6.7,31.8,15.7,9.0,2.5,0.0,46.2,20.0,62.5,1.4,33.3
2295371,G. Ecker Alberti,BAXI MANRESA,C,Rolling Big,11.2,1.6,21.0,23.6,17.5,1.1,16.1,13.6,3.6,0.9,0.5,16.7,17.9,75.0,19.4,70.1
2300932,S. Martin Diez,BURGOS GRUPO DE SANTIAGO,C,Traditional Center,4.1,1.7,45.6,39.8,18.4,13.0,62.5,18.3,18.1,3.9,6.0,66.7,0.0,50.0,13.3,24.2
2334297,L. Sanchez Fernandez,BAXI MANRESA,PG,Stretch Big,21.9,11.7,55.1,56.8,18.4,4.3,49.1,22.4,26.7,1.2,1.0,61.9,30.8,66.7,14.1,26.7
2340834,Y. Traore,CASADEMONT ZARAGOZA,C,Traditional Center,27.0,14.4,54.2,56.0,23.5,13.6,100.3,26.0,14.2,2.2,3.2,52.5,0.0,59.6,20.3,1.8
2353230,M. Ndiaye,BAXI MANRESA,C,Rolling Big,5.3,0.5,22.7,22.7,26.6,20.5,0.0,10.3,4.3,1.1,2.0,33.3,0.0,0.0,12.8,7.1
2362551,E. Lima Teixeira,FUNDACIÓN CB CANARIAS,C,Traditional Center,8.2,2.9,55.0,57.3,7.9,11.6,32.1,14.8,5.8,0.0,2.0,59.3,0.0,50.0,17.5,0.0
2370180,O. Hadi Adegbite,REAL MADRID,SG,3&D Wing,11.2,3.4,53.7,54.1,24.0,1.7,43.8,17.8,14.7,2.2,1.5,63.6,20.0,58.3,13.2,27.0
2382632,A. Cativiela Aisa,CASADEMONT ZARAGOZA,SG,Lead Guard,17.3,7.2,56.8,58.2,12.8,5.0,39.5,17.3,15.9,3.3,0.0,60.0,33.3,62.1,16.9,42.4
2382801,J. Prieto Alejandre,CASADEMONT ZARAGOZA,,Rolling Big,10.9,0.6,14.3,15.2,24.4,6.5,4.0,8.6,4.0,1.2,0.0,33.3,0.0,100.0,10.9,39.5
2436134,A. Traore,BURGOS GRUPO DE SANTIAGO,C,Traditional Center,24.0,8.4,57.2,55.6,14.5,9.9,77.6,15.9,3.5,2.8,3.0,57.1,20.0,45.2,17.6,6.1
2438847,A. Savkov,CASADEMONT ZARAGOZA,PG,Stretch Big,24.3,14.3,50.6,58.1,13.5,9.2,38.5,23.7,13.8,2.5,3.2,52.4,34.6,88.7,18.9,51.3
2441048,E. Heinonen,GRAN CANARIA,SG,3&D Wing,28.0,12.7,43.5,47.2,12.9,2.2,22.1,23.0,13.3,1.2,0.0,46.1,27.3,77.5,10.9,54.0
