MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,P1_ID,P1_NAME,P1_POS,P2_ID,P2_NAME,P2_POS,P3_ID,P3_NAME,P3_POS,P4_ID,P4_NAME,P4_POS,P5_ID,P5_NAME,P5_POS,MINUTES,SECONDS,PTS_FOR,PTS_AGAINST,PLUS_MINUS,PTS_FOR_PER40,PTS_AGT_PER40,NET_PER40
2513114,PRIMERA FASE D,1000014,INSOLAC CB ALCALÁ CAJA87 2010,HOME,2573616,G. Gil Vargas,SF,2573753,J. Romero Madroñal,SF,2068439,H. Murillo Pons,SF,2658498,J. Rodríguez Martínez,SF,2417084,A. Delgado Borrallo,SF,2.4,147.0,2.0,4.0,-2.0,32.7,65.3,-32.7
2513114,PRIMERA FASE D,1000014,INSOLAC CB ALCALÁ CAJA87 2010,HOME,2573616,G. Gil Vargas,SF,2573753,J. Romero Madroñal,SF,2068439,H. Murillo Pons,SF,2658498,J. Rodríguez Martínez,SF,2592719,C. Lozano Daza,SF,1.1,63.0,0.0,2.0,-2.0,0.0,76.2,-76.2
2513114,PRIMERA FASE D,1000014,INSOLAC CB ALCALÁ CAJA87 2010,HOME,2573616,G. Gil Vargas,SF,2573753,J. Romero Madroñal,SF,2417150,G. Pedros Ayago,SF,2068439,H. Murillo Pons,SF,2658498,J. Rodríguez Martínez,SF,6.6,397.0,9.0,14.0,-5.0,54.4,84.6,-30.2
2513114,PRIMERA FASE D,1000014,INSOLAC CB ALCALÁ CAJA87 2010,HOME,2573616,G. Gil Vargas,SF,2573753,J. Romero Madroñal,SF,2417150,G. Pedros Ayago,SF,2409787,Á. González Trujillo,SF,2068439,H. Murillo Pons,SF,27.7,1669.0,45.0,82.0,-37.0,64.7,117.9,-53.2
2513114,PRIMERA FASE D,1000014,INSOLAC CB ALCALÁ CAJA87 2010,HOME,2573616,G. Gil Vargas,SF,2573753,J. Romero Madroñal,SF,2658498,J. Rodríguez Martínez,SF,2592719,C. Lozano Daza,SF,2571881,M. Jiménez González,SF,2.1,124.0,6.0,6.0,0.0,116.1,116.1,0.0
2513114,PRIMERA FASE D,997153,VALENCIA BASKET,AWAY,2372246,P. Gonzalez Benavent,SF,2339159,L. Gil Villarroel,SF,2423452,L. Manzanera Estelles,SF,2440427,C. Elordi Espi,SF,2336152,S. Palau Lara,SF,2.7,164.0,7.0,10.0,-3.0,102.4,146.3,-43.9
2513114,PRIMERA FASE D,997153,VALENCIA BASKET,AWAY,2372246,P. Gonzalez Benavent,SF,2423452,L. Manzanera Estelles,SF,2440427,C. Elordi Espi,SF,2834334,P. Jelenc,SF,2336152,S. Palau Lara,SF,0.2,12.0,0.0,3.0,-3.0,0.0,600.0,-600.0
2513114,PRIMERA FASE D,997153,VALENCIA BASKET,AWAY,2372246,P. Gonzalez Benavent,SF,2423452,L. Manzanera Estelles,SF,2506694,T. Trush,SF,2440427,C. Elordi Espi,SF,2336152,S. Palau Lara,SF,1.7,104.0,8.0,2.0,6.0,184.6,46.2,138.5
2513114,PRIMERA FASE D,997153,VALENCIA BASKET,AWAY,2372246,P. Gonzalez Benavent,SF,2843465,E. Szewczyk,SF,2339159,L. Gil Villarroel,SF,2440427,C. Elordi Espi,SF,2336152,S. Palau Lara,SF,0.9,55.0,0.0,3.0,-3.0,0.0,130.9,-130.9
2513114,PRIMERA FASE D,997153,VALENCIA BASKET,AWAY,2372246,P. Gonzalez Benavent,SF,2843465,E. Szewczyk,SF,2440427,C. Elordi Espi,SF,2834334,P. Jelenc,SF,2336152,S. Palau Lara,SF,0.8,50.0,4.0,0.0,4.0,192.0,0.0,192.0
