PLAYER_ID,PLAYER_NAME,TEAM,POSITION,ROLE_NAME,MIN,PTS,eFG%,TS%,TOV%,ORB%,FTr,USG%,AST%,STL%,BLK%,2PT%,3PT%,FT%,DRB%,3PAr
1197937,A. Chapela Lage,PALMER BASKET MALLORCA PALMA,PG,Offensive Engine,13.6,3.3,32.5,33.5,14.6,1.1,16.7,19.6,34.0,3.3,0.5,19.0,26.2,62.5,13.0,72.7
1241485,J. Martinez Cabezudo,FIBWI MALLORCA BASQUET PALMA,PG,Offensive Engine,8.8,1.3,18.0,18.8,20.3,4.4,5.4,16.6,26.5,3.6,0.0,57.1,11.1,66.7,12.8,71.5
1251001,C. Diaz Rodriguez,MELILLA CIUDAD DEL DEPORTE,PG,Offensive Engine,20.3,7.1,35.7,51.6,22.2,3.0,69.4,20.1,25.6,2.0,0.0,37.5,27.1,87.6,5.9,42.5
1253254,A. Muñoz Borchers,SÚPER AGROPAL PALENCIA,SF,3&D Wing,16.6,6.2,50.3,53.7,7.5,5.6,26.0,17.8,7.9,1.7,1.9,42.9,36.3,80.0,14.2,65.1
1285873,M. Torres Cuevas,HLA ALICANTE,PG,High Volume Scorer,23.5,9.9,50.3,57.8,14.0,3.2,42.9,20.8,24.7,1.7,0.3,46.2,37.2,81.4,7.4,40.0
1373532,S. Rodriguez Febles,MELILLA CIUDAD DEL DEPORTE,SF,3&D Wing,20.3,8.4,52.7,56.9,14.0,7.3,35.1,20.0,10.0,1.6,0.9,52.5,34.4,72.2,13.5,52.1
1376540,M. Rodriguez Barrientos,SÚPER AGROPAL PALENCIA,SG,3&D Wing,9.1,3.2,39.1,43.3,9.3,4.2,23.4,18.1,8.2,2.1,0.0,20.0,38.9,75.0,8.3,61.5
1381662,S. Llorente Paz,HLA ALICANTE,PG,Offensive Engine,7.8,2.0,48.3,50.4,29.8,3.7,20.7,13.9,13.9,1.8,0.0,42.9,40.0,100.0,7.7,63.1
1382456,V. Arteaga Gonzalez,HESTIA MENORCA,C,Traditional Center,11.5,4.7,53.5,55.3,20.1,11.9,52.4,21.3,8.1,0.7,4.4,53.2,0.0,73.5,17.3,1.0
1382607,J. Gonzalez Calvo,SÚPER AGROPAL PALENCIA,C,Traditional Center,7.8,1.6,34.9,39.9,26.3,13.1,71.8,10.4,6.2,0.6,0.0,63.6,0.0,53.8,14.2,0.0
1382710,I. Cruz Uceda,MELILLA CIUDAD DEL DEPORTE,PF,Stretch Big,23.1,12.1,55.8,58.2,11.7,8.9,14.6,23.3,19.6,1.5,0.2,47.0,44.6,82.1,29.2,45.0
1384223,A. Martin Marin,GRUPO CAESA SEGUROS FC CARTAGENA CB,PG,Offensive Engine,17.6,4.8,37.1,41.7,20.0,2.5,47.0,18.8,35.0,3.1,0.0,42.2,24.7,67.9,8.9,55.0
1384981,I. Aurrecoechea Alcolado,FLEXICAR FUENLABRADA,C,Traditional Center,24.8,13.8,62.2,65.8,17.3,17.8,60.4,24.2,18.5,0.2,1.1,62.7,0.0,72.3,23.8,1.2
1440545,A. Bouzan Cumplido,CAJA RURAL CB ZAMORA,SF,3&D Wing,7.5,2.3,59.8,65.1,0.0,0.0,52.2,15.8,0.0,0.0,0.0,0.0,40.0,33.3,4.9,94.6
1442713,P. Hernandez Montenegro,GRUPO ALEGA CANTABRIA,SF,3&D Wing,21.0,7.9,54.8,59.7,14.7,3.5,28.7,18.1,8.4,0.9,0.2,47.1,41.4,87.8,11.1,53.4
1447983,M. Motos Cabodevilla,INVEREADY GIPUZKOA,SG,3&D Wing,15.0,2.9,40.2,43.0,16.9,6.6,13.7,13.0,12.8,2.0,0.0,52.5,22.7,53.8,13.4,50.1
1491674,G. Jou Coll,LEYMA CORUÑA,SF,3&D Wing,18.6,7.0,53.6,56.7,5.7,8.0,32.8,14.6,8.9,2.5,0.2,61.4,39.3,68.0,16.3,79.2
1496030,P. Figueras Lopez,HESTIA MENORCA,PG,Offensive Engine,17.7,5.8,38.9,45.4,24.2,2.2,38.7,24.1,35.0,2.2,0.0,41.2,19.0,75.0,6.9,51.5
1509876,J. Aramburu Lamy,FIBWI MALLORCA BASQUET PALMA,,3&D Wing,26.2,7.2,50.0,52.6,11.1,6.2,50.6,14.1,10.8,2.8,2.3,57.6,28.4,57.5,20.0,44.4
1517914,S. Garcia Calvo,MOVISTAR ESTUDIANTES,PG,Offensive Engine,22.4,7.6,51.2,56.8,24.5,3.8,44.1,18.3,25.8,2.6,0.5,52.2,38.4,80.0,15.8,68.6
1525747,J. Lopez Santana,GRUPO CAESA SEGUROS FC CARTAGENA CB,PG,Offensive Engine,23.7,8.8,46.3,48.8,20.0,1.6,22.7,22.9,33.5,1.4,0.0,47.3,30.0,81.8,8.2,51.5
1535344,I. Rosa Pompido,INVEREADY GIPUZKOA,PF,3&D Wing,8.1,1.9,31.6,32.4,18.0,9.9,40.5,19.7,6.5,1.4,1.3,42.9,12.5,50.0,10.9,55.5
1535344,I. Rosa Pompido,HESTIA MENORCA,PF,Rolling Big,4.2,0.6,31.6,32.4,18.0,9.9,40.5,19.7,6.5,1.4,1.3,0.0,20.0,0.0,10.9,55.5
1541543,J. Diaz Alejano,LEYMA CORUÑA,SF,Shooter Specialist,17.9,8.3,65.8,70.1,8.1,8.2,27.8,16.9,6.5,1.7,1.2,66.3,41.8,86.0,18.1,49.9
1572466,R. Vila Soley,GRUPO URETA TIZONA BURGOS,C,Stretch Big,19.0,8.2,62.8,64.5,14.3,9.0,41.4,18.4,11.5,1.1,1.4,63.1,30.8,63.9,11.2,15.5
1583271,A. Lima Brito,FLEXICAR FUENLABRADA,C,Traditional Center,16.8,5.5,48.6,50.4,19.8,10.3,45.5,19.9,17.7,1.2,2.6,49.0,0.0,48.0,19.3,3.3
